dataset,method,tau,auroc,sem,n
depmap,marginal,0.3,0.556060603169064,0.0028534042462182497,200
depmap,marginal,0.4,0.5412028774358041,0.003846214804862603,200
depmap,marginal,0.5,0.4914538610614192,0.005207609443099708,200
depmap,marginal,0.6,0.4343356350700983,0.008332730541014698,200
depmap,marginal,0.7,0.2915901997503121,0.010382869488902362,200
depmap,residualized,0.3,0.4188891781807871,0.0030488734579378687,200
depmap,residualized,0.4,0.3631304002509156,0.00370926061674605,200
depmap,residualized,0.5,0.2938018038163387,0.0045808055199091065,200
depmap,residualized,0.6,0.1894308432726512,0.0060285151398331936,200
depmap,residualized,0.7,0.08117197253433207,0.006322348997016277,200
depmap,irm,0.3,0.5511193415413472,0.0028274374704675286,200
depmap,irm,0.4,0.5320588994111577,0.0038712925486598395,200
depmap,irm,0.5,0.4878106365533691,0.005257538529133482,200
depmap,irm,0.6,0.4194883866917765,0.007157512883074277,200
depmap,irm,0.7,0.25518570536828966,0.008730461488084925,200
depmap,within_tissue,0.3,0.4385689729440888,0.003659039524093636,200
depmap,within_tissue,0.4,0.3886763947064894,0.004966042370585921,200
depmap,within_tissue,0.5,0.3142511429139336,0.006429674472538079,200
depmap,within_tissue,0.6,0.21614092906465784,0.008472883412945801,200
depmap,within_tissue,0.7,0.11111423220973782,0.007128956498905973,200
depmap,between_tissue,0.3,0.6645659031178093,0.0023248945936903964,200
depmap,between_tissue,0.4,0.651357423258261,0.00315835431725095,200
depmap,between_tissue,0.5,0.618825034784337,0.0047614782378098556,200
depmap,between_tissue,0.6,0.5819983260096254,0.008428072013028332,200
depmap,between_tissue,0.7,0.5338155430711611,0.014703653406666415,200
depmap,dann,0.3,0.5503687608370865,0.00260600425725169,200
depmap,dann,0.4,0.5361253262915073,0.003571604535923157,200
depmap,dann,0.5,0.4862755913337309,0.0049722830290235874,200
depmap,dann,0.6,0.42688637790332706,0.007628306295419275,200
depmap,dann,0.7,0.2982178526841448,0.009697441779686367,200
depmap,adae,0.3,0.6649210869257027,0.00585973924022588,200
depmap,adae,0.4,0.6498133309051175,0.007296900570739923,200
depmap,adae,0.5,0.6075198767640628,0.009489742849889467,200
depmap,adae,0.6,0.5639344005021971,0.012309281875735753,200
depmap,adae,0.7,0.4731647940074906,0.01940501737937697,200
ctrpv2,marginal,0.3,0.5790072511866148,0.003616970421213239,440
ctrpv2,marginal,0.4,0.5651414207331982,0.004177934105607557,440
ctrpv2,marginal,0.5,0.5300818180164206,0.004760775602652947,440
ctrpv2,marginal,0.6,0.49826322574484333,0.005965622600175689,440
ctrpv2,marginal,0.7,0.4254406027638122,0.006830063547649748,440
ctrpv2,residualized,0.3,0.3728552956204837,0.0018396465636163625,440
ctrpv2,residualized,0.4,0.3161894964116725,0.002180271425089114,440
ctrpv2,residualized,0.5,0.24444313964181513,0.002486487252306998,440
ctrpv2,residualized,0.6,0.18387445887445886,0.0029057689545606805,440
ctrpv2,residualized,0.7,0.09961228330448639,0.003231977236779246,440
ctrpv2,irm,0.3,0.5560958392298797,0.003424719810091901,440
ctrpv2,irm,0.4,0.5365045806906272,0.003931998212318426,440
ctrpv2,irm,0.5,0.4951752097240507,0.004334901506868856,440
ctrpv2,irm,0.6,0.45081148936847465,0.005245627397792467,440
ctrpv2,irm,0.7,0.3454875133932251,0.006035866392391631,440
ctrpv2,within_tissue,0.3,0.45871969279515085,0.004803058242212729,440
ctrpv2,within_tissue,0.4,0.4115245807625376,0.005532321096828966,440
ctrpv2,within_tissue,0.5,0.34497782846292774,0.006269970159224744,440
ctrpv2,within_tissue,0.6,0.2895950212471352,0.0069472481544898355,440
ctrpv2,within_tissue,0.7,0.17776965026511718,0.005635416772895179,440
ctrpv2,between_tissue,0.3,0.676525118244019,0.0023531410052936293,440
ctrpv2,between_tissue,0.4,0.6657187711236715,0.003093566768784026,440
ctrpv2,between_tissue,0.5,0.6430298798883236,0.004613415909296154,440
ctrpv2,between_tissue,0.6,0.6178384919308632,0.0064645005019282695,440
ctrpv2,between_tissue,0.7,0.5825812522322041,0.00925675516187412,440
ctrpv2,dann,0.3,0.5178838651705093,0.003641208585166911,440
ctrpv2,dann,0.4,0.4897097337878068,0.004253165516458069,440
ctrpv2,dann,0.5,0.4321240431753676,0.004701320884971669,440
ctrpv2,dann,0.6,0.37252196333078685,0.005494510137774651,440
ctrpv2,dann,0.7,0.2859580620346713,0.005683835982856486,440
ctrpv2,adae,0.3,0.5328000298480048,0.0037242776199689835,440
ctrpv2,adae,0.4,0.5228996149199637,0.004511581867226486,440
ctrpv2,adae,0.5,0.5163406130293547,0.005930936839314274,440
ctrpv2,adae,0.6,0.521296075248281,0.007984470330544067,440
ctrpv2,adae,0.7,0.4864391878897772,0.009796276848008023,440
