item,method,K,contamination
ACO2,marginal,10,0.4
ACO2,marginal,50,0.28
ACO2,marginal,100,0.21
ACO2,residualized,10,0.0
ACO2,residualized,50,0.22
ACO2,residualized,100,0.22
ACO2,irm,10,0.4
ACO2,irm,50,0.2
ACO2,irm,100,0.23
ACO2,within_tissue,10,0.2
ACO2,within_tissue,50,0.16
ACO2,within_tissue,100,0.12
ACTB,marginal,10,0.4
ACTB,marginal,50,0.28
ACTB,marginal,100,0.2
ACTB,residualized,10,0.0
ACTB,residualized,50,0.18
ACTB,residualized,100,0.17
ACTB,irm,10,0.1
ACTB,irm,50,0.24
ACTB,irm,100,0.21
ACTB,within_tissue,10,0.2
ACTB,within_tissue,50,0.22
ACTB,within_tissue,100,0.16
ACTR1A,marginal,10,0.5
ACTR1A,marginal,50,0.16
ACTR1A,marginal,100,0.22
ACTR1A,residualized,10,0.1
ACTR1A,residualized,50,0.14
ACTR1A,residualized,100,0.14
ACTR1A,irm,10,0.3
ACTR1A,irm,50,0.2
ACTR1A,irm,100,0.2
ACTR1A,within_tissue,10,0.1
ACTR1A,within_tissue,50,0.12
ACTR1A,within_tissue,100,0.17
ADSL,marginal,10,0.5
ADSL,marginal,50,0.36
ADSL,marginal,100,0.31
ADSL,residualized,10,0.6
ADSL,residualized,50,0.34
ADSL,residualized,100,0.27
ADSL,irm,10,0.5
ADSL,irm,50,0.38
ADSL,irm,100,0.31
ADSL,within_tissue,10,0.5
ADSL,within_tissue,50,0.26
ADSL,within_tissue,100,0.22
AK6,marginal,10,0.2
AK6,marginal,50,0.22
AK6,marginal,100,0.19
AK6,residualized,10,0.1
AK6,residualized,50,0.22
AK6,residualized,100,0.15
AK6,irm,10,0.4
AK6,irm,50,0.22
AK6,irm,100,0.2
AK6,within_tissue,10,0.1
AK6,within_tissue,50,0.18
AK6,within_tissue,100,0.13
ALDOA,marginal,10,0.2
ALDOA,marginal,50,0.24
ALDOA,marginal,100,0.24
ALDOA,residualized,10,0.0
ALDOA,residualized,50,0.14
ALDOA,residualized,100,0.14
ALDOA,irm,10,0.1
ALDOA,irm,50,0.32
ALDOA,irm,100,0.26
ALDOA,within_tissue,10,0.1
ALDOA,within_tissue,50,0.12
ALDOA,within_tissue,100,0.11
ALG13,marginal,10,0.2
ALG13,marginal,50,0.24
ALG13,marginal,100,0.22
ALG13,residualized,10,0.4
ALG13,residualized,50,0.18
ALG13,residualized,100,0.22
ALG13,irm,10,0.2
ALG13,irm,50,0.3
ALG13,irm,100,0.24
ALG13,within_tissue,10,0.1
ALG13,within_tissue,50,0.12
ALG13,within_tissue,100,0.12
ANKLE2,marginal,10,0.3
ANKLE2,marginal,50,0.28
ANKLE2,marginal,100,0.23
ANKLE2,residualized,10,0.3
ANKLE2,residualized,50,0.14
ANKLE2,residualized,100,0.15
ANKLE2,irm,10,0.1
ANKLE2,irm,50,0.2
ANKLE2,irm,100,0.27
ANKLE2,within_tissue,10,0.1
ANKLE2,within_tissue,50,0.12
ANKLE2,within_tissue,100,0.15
ATP1A1,marginal,10,0.3
ATP1A1,marginal,50,0.28
ATP1A1,marginal,100,0.26
ATP1A1,residualized,10,0.2
ATP1A1,residualized,50,0.18
ATP1A1,residualized,100,0.16
ATP1A1,irm,10,0.1
ATP1A1,irm,50,0.24
ATP1A1,irm,100,0.22
ATP1A1,within_tissue,10,0.1
ATP1A1,within_tissue,50,0.14
ATP1A1,within_tissue,100,0.17
ATP6AP1,marginal,10,0.5
ATP6AP1,marginal,50,0.24
ATP6AP1,marginal,100,0.23
ATP6AP1,residualized,10,0.1
ATP6AP1,residualized,50,0.16
ATP6AP1,residualized,100,0.17
ATP6AP1,irm,10,0.4
ATP6AP1,irm,50,0.26
ATP6AP1,irm,100,0.23
ATP6AP1,within_tissue,10,0.2
ATP6AP1,within_tissue,50,0.14
ATP6AP1,within_tissue,100,0.15
ATP6V0C,marginal,10,0.2
ATP6V0C,marginal,50,0.3
ATP6V0C,marginal,100,0.29
ATP6V0C,residualized,10,0.1
ATP6V0C,residualized,50,0.18
ATP6V0C,residualized,100,0.13
ATP6V0C,irm,10,0.3
ATP6V0C,irm,50,0.3
ATP6V0C,irm,100,0.25
ATP6V0C,within_tissue,10,0.2
ATP6V0C,within_tissue,50,0.22
ATP6V0C,within_tissue,100,0.19
ATP6V1A,marginal,10,0.3
ATP6V1A,marginal,50,0.22
ATP6V1A,marginal,100,0.23
ATP6V1A,residualized,10,0.1
ATP6V1A,residualized,50,0.12
ATP6V1A,residualized,100,0.12
ATP6V1A,irm,10,0.0
ATP6V1A,irm,50,0.24
ATP6V1A,irm,100,0.23
ATP6V1A,within_tissue,10,0.0
ATP6V1A,within_tissue,50,0.2
ATP6V1A,within_tissue,100,0.13
ATP6V1B2,marginal,10,0.4
ATP6V1B2,marginal,50,0.22
ATP6V1B2,marginal,100,0.21
ATP6V1B2,residualized,10,0.2
ATP6V1B2,residualized,50,0.24
ATP6V1B2,residualized,100,0.2
ATP6V1B2,irm,10,0.5
ATP6V1B2,irm,50,0.24
ATP6V1B2,irm,100,0.23
ATP6V1B2,within_tissue,10,0.1
ATP6V1B2,within_tissue,50,0.14
ATP6V1B2,within_tissue,100,0.15
ATP6V1F,marginal,10,0.4
ATP6V1F,marginal,50,0.22
ATP6V1F,marginal,100,0.2
ATP6V1F,residualized,10,0.1
ATP6V1F,residualized,50,0.1
ATP6V1F,residualized,100,0.11
